startX	startY	endX	endY	Text
1730	421	2390	620	E3.99
639	453	955	530	CUSTOMER
1380	444	1648	501	Deals
475	455	629	518	DEAR
542	553	880	627	IMPORTANT
353	648	567	725	COFFEE
577	654	845	727	MACHINE
858	663	1065	726	NOTICE
361	852	563	920	PLEASE
572	862	766	925	STAND
779	867	810	920	2
827	862	1052	930	METRES
431	944	612	1007	CLEAR
616	949	700	1012	OF
709	949	819	1012	THE
832	954	977	1017	NEXT
1479	988	1774	1075	HAND
1779	985	2311	1086	SANITIZER
326	1021	647	1101	CUSTOMER
656	1036	854	1099	ATTHE
861	1041	1076	1099	COFFEE
1558	1085	1849	1182	KILLS
1844	1090	2218	1186	99.99%
374	1112	646	1187	MACHINE
656	1124	805	1186	EVEN
814	1128	872	1186	1F
878	1129	1032	1186	THAT
1413	1181	1765	1281	GERMS
1774	1191	1857	1278	8
335	1194	541	1272	MEANS
1866	1191	2372	1283	BACTERIA
555	1206	805	1274	WAITING
818	1211	1062	1275	OUTSIDE
291	1281	404	1353	THE
418	1293	603	1356	DOOR.
942	1293	1092	1361	YOUR
1835	1288	1954	1332	100ml
616	1298	744	1361	THIS
748	1298	805	1361	IS
814	1298	933	1361	FOR
335	1372	545	1447	SAFETY
555	1380	682	1448	AND
691	1385	823	1448	OUR
832	1385	1048	1453	SAFETY.
594	1574	709	1617	THANK
713	1579	783	1617	YOU
568	1637	638	1680	THE
643	1642	810	1685	MANAGER
607	2291	858	2417	NaTekar
1351	2562	1510	2625	DEAR
1519	2562	1840	2630	CUSTOMER
2265	2690	2383	2730	
2521	2711	2682	2756	440
1215	2770	1422	2833	PLEASE
1431	2770	1589	2833	TURN
1602	2770	1778	2838	RIGHT
1787	2775	1972	2838	WHEN
1246	2857	1527	2925	ENTERING
1541	2862	1655	2925	THE
1659	2862	1945	2925	SHOPAND
1228	2949	1466	3012	ALWAYS
1475	2949	1668	3017	STAND
1677	2954	1712	3012	2
1730	2949	1959	3017	METRES
2250	2976	2458	2996	MECOY
2456	2976	2619	3019	MELD
1175	3036	1395	3104	BEHIND
1404	3036	1519	3104	THE
1682	3028	2011	3112	CUSTOMER
1532	3041	1677	3104	NEXT
1378	3128	1448	3191	IN
1457	3128	1571	3196	THE
1580	3128	1800	3196	QUEUE，
317	3148	462	3240	NO
484	3143	955	3245	SMOKING
383	3259	449	3327	is
458	3259	695	3332	against
704	3259	814	3322	the
823	3254	942	3322	law
321	3264	379	3327	1
445	3322	515	3385	to
528	3322	744	3385	smoke
748	3317	819	3380	i
1422	3337	1620	3404	THANK
1629	3337	1756	3404	YOU
387	3380	572	3443	these
580	3380	877	3441	premises
1439	3443	1739	3506	MANAGER
2240	3545	2390	3618	0心国
679	4109	2728	4580	Automatic
